timestamp,run_id,protocol,threat_model,archetype,attack_family,dag_strategy,num_nodes,attacker_fraction,num_policies,rep,seed,exit_code,duration_sec,asr,asr_l1,asr_l2,asr_histogram,per_policy_asr_json,victim_workload,victim_count,victim_profit_distribution,coordination_enabled,coordination_policy,coordination_information,bribery_enabled,bribery_type,bribery_settlement,bribery_budget,auditor_findings_count,runtime_violations_count,config_path,cell_name,paper1_ref_median,paper1_tolerance_pp,paper1_within_tolerance,coord_metrics_json,realized_mev,profit_weighted_asr,profit_total,profit_n_victims
2026-07-16T03:05:15.227335+00:00,4ab9426b94252d7d,sui,TM-Solo,,frontrun,fissure,13,0.3076923076923077,1,0,500,0,5.373928785324097,56.0,,,,"{""g0"": 55.96382136800452}",single,1,uniform,False,role_specialization,local_dag_union,False,,simulated,0.0,0,0,<benchmark/c_paper1_baseline>,c_paper1_baseline,,,,{},57.0,93.4426,61.0,61
2026-07-16T03:05:20.595981+00:00,ceddd568c2d72eda,sui,TM-Solo,,frontrun,fissure,13,0.3076923076923077,1,1,501,0,5.3675172328948975,55.7,,,,"{""g0"": 55.70584577114428}",single,1,uniform,False,role_specialization,local_dag_union,False,,simulated,0.0,0,0,<benchmark/c_paper1_baseline>,c_paper1_baseline,,,,{},61.0,91.0448,67.0,67
2026-07-16T03:05:26.045267+00:00,3e6911176dfbeead,sui,TM-Solo,,frontrun,fissure,13,0.3076923076923077,1,2,502,0,5.447831630706787,56.4,,,,"{""g0"": 56.36645962732919}",single,1,uniform,False,role_specialization,local_dag_union,False,,simulated,0.0,0,0,<benchmark/c_paper1_baseline>,c_paper1_baseline,,,,{},59.0,93.6508,63.0,63
2026-07-16T03:05:31.721559+00:00,b56142273a78290c,sui,TM-Solo,,frontrun,fissure,13,0.3076923076923077,1,3,503,0,5.674871206283569,55.7,,,,"{""g0"": 55.668896321070235}",single,1,uniform,False,role_specialization,local_dag_union,False,,simulated,0.0,0,0,<benchmark/c_paper1_baseline>,c_paper1_baseline,,,,{},60.0,92.3077,65.0,65
2026-07-16T03:05:36.918143+00:00,177c2c44f96573f6,sui,TM-Solo,,frontrun,fissure,13,0.3076923076923077,1,4,504,0,5.19562029838562,55.8,,,,"{""g0"": 55.769230769230774}",single,1,uniform,False,role_specialization,local_dag_union,False,,simulated,0.0,0,0,<benchmark/c_paper1_baseline>,c_paper1_baseline,,,,{},60.0,92.3077,65.0,65
2026-07-16T03:05:42.584256+00:00,24c2f5b565092574,sui,TM-Compete,,frontrun,fissure,13,0.3076923076923077,2,0,500,0,5.664395809173584,56.2,,,,"{""g0"": 56.14809782608695, ""g1"": 56.18206521739131}",single,1,uniform,False,role_specialization,local_dag_union,False,,simulated,0.0,0,0,<benchmark/c_comp_no_bribery>,c_comp_no_bribery,,,,{},59.0,92.1875,64.0,64
2026-07-16T03:05:48.166339+00:00,a1f9e6af2a4c0c95,sui,TM-Compete,,frontrun,fissure,13,0.3076923076923077,2,1,501,0,5.580960035324097,56.2,,,,"{""g0"": 56.00654664484451, ""g1"": 56.301145662847794}",single,1,uniform,False,role_specialization,local_dag_union,False,,simulated,0.0,0,0,<benchmark/c_comp_no_bribery>,c_comp_no_bribery,,,,{},60.0,92.3077,65.0,65
2026-07-16T03:05:53.024765+00:00,e833eeb7b38c92a1,sui,TM-Compete,,frontrun,fissure,13,0.3076923076923077,2,2,502,0,4.857294797897339,56.4,,,,"{""g0"": 56.333830104321905, ""g1"": 56.557377049180324}",single,1,uniform,False,role_specialization,local_dag_union,False,,simulated,0.0,0,0,<benchmark/c_comp_no_bribery>,c_comp_no_bribery,,,,{},57.0,93.4426,61.0,61
2026-07-16T03:05:58.711793+00:00,5a929ae902323462,sui,TM-Compete,,frontrun,fissure,13,0.3076923076923077,2,3,503,0,5.6858954429626465,55.3,,,,"{""g0"": 55.3030303030303, ""g1"": 55.33596837944664}",single,1,uniform,False,role_specialization,local_dag_union,False,,simulated,0.0,0,0,<benchmark/c_comp_no_bribery>,c_comp_no_bribery,,,,{},61.0,92.4242,66.0,66
2026-07-16T03:06:03.438721+00:00,7ba6d5d6e10c69a6,sui,TM-Compete,,frontrun,fissure,13,0.3076923076923077,2,4,504,0,4.7259979248046875,56.2,,,,"{""g0"": 56.222056631892706, ""g1"": 56.222056631892706}",single,1,uniform,False,role_specialization,local_dag_union,False,,simulated,0.0,0,0,<benchmark/c_comp_no_bribery>,c_comp_no_bribery,,,,{},57.0,93.4426,61.0,61
