protocol,n,scope,fix,index,blocks,leader_share,wr_same_round,wr_nonleader,mev_uniform,mev_pareto
Bullshark,13,std,0,0,464,0.069,0.9199,1.0,4962.0,23826.43
Bullshark,13,std,0,1,464,0.1034,0.8517,0.914,4594.0,20379.45
Bullshark,13,std,0,2,464,0.1034,0.7835,0.8309,4226.0,18785.31
Bullshark,13,std,0,3,464,0.1034,0.7152,0.7485,3858.0,17860.83
Bullshark,13,std,0,4,476,0.1008,0.6311,0.6602,3384.0,15001.79
Bullshark,13,std,0,5,450,0.0711,0.5556,0.5693,2930.0,13260.46
Bullshark,13,std,0,6,448,0.0714,0.4893,0.491,2572.0,11455.3
Bullshark,13,std,0,7,448,0.0714,0.4172,0.4059,2192.0,9931.32
Bullshark,13,std,0,8,448,0.0714,0.3559,0.3336,1874.0,8699.86
Bullshark,13,std,0,9,434,0.0737,0.2862,0.2497,1472.0,7818.08
Bullshark,13,std,0,10,432,0.0741,0.2161,0.1666,1106.0,5805.46
Bullshark,13,std,0,11,418,0.0766,0.1486,0.0843,738.0,3379.03
Bullshark,13,std,0,12,464,0.069,0.0738,0.0031,398.0,1738.38
Bullshark,13,std,1,0,464,0.069,0.4926,0.4965,2654.0,13888.63
Bullshark,13,std,1,1,464,0.1034,0.5397,0.5372,2908.0,12923.09
Bullshark,13,std,1,2,464,0.1034,0.5045,0.493,2718.0,14218.51
Bullshark,13,std,1,3,464,0.1034,0.5111,0.5009,2754.0,13298.39
Bullshark,13,std,1,4,476,0.1008,0.4897,0.4947,2620.0,12523.19
Bullshark,13,std,1,5,448,0.0714,0.541,0.552,2838.0,13563.51
Bullshark,13,std,1,6,448,0.0714,0.4539,0.4492,2382.0,10922.52
Bullshark,13,std,1,7,448,0.0714,0.4964,0.4993,2604.0,12181.82
Bullshark,13,std,1,8,446,0.0717,0.487,0.4881,2554.0,13354.29
Bullshark,13,std,1,9,432,0.0741,0.5037,0.5062,2578.0,13463.19
Bullshark,13,std,1,10,432,0.0741,0.5233,0.5293,2678.0,12239.52
Bullshark,13,std,1,11,418,0.0766,0.4946,0.4938,2458.0,13595.71
Bullshark,13,std,1,12,464,0.069,0.4629,0.4615,2494.0,11914.89
Bullshark,25,std,0,0,252,0.0,0.9016,0.9437,5094.0,25055.51
Bullshark,25,std,0,1,250,0.048,0.8726,0.9079,4902.0,23721.17
Bullshark,25,std,0,2,248,0.0484,0.8274,0.8586,4622.0,22718.83
Bullshark,25,std,0,3,248,0.0484,0.8045,0.8334,4494.0,21524.28
Bullshark,25,std,0,4,246,0.0488,0.7548,0.7785,4192.0,20030.88
Bullshark,25,std,0,5,248,0.0484,0.7118,0.729,3966.0,19126.92
Bullshark,25,std,0,6,244,0.0492,0.6885,0.7025,3802.0,18294.72
Bullshark,25,std,0,7,244,0.0492,0.6581,0.6689,3626.0,17581.52
Bullshark,25,std,0,8,250,0.048,0.6134,0.6202,3446.0,16996.59
Bullshark,25,std,0,9,248,0.0484,0.5739,0.5765,3206.0,15850.48
Bullshark,25,std,0,10,250,0.048,0.5365,0.5353,3014.0,14719.3
Bullshark,25,std,0,11,250,0.048,0.5151,0.5118,2894.0,14699.49
Bullshark,25,std,0,12,238,0.0504,0.4932,0.4861,2670.0,13465.78
Bullshark,25,std,0,13,240,0.05,0.4719,0.4631,2568.0,12979.16
Bullshark,25,std,0,14,240,0.05,0.4397,0.4278,2392.0,11491.19
Bullshark,25,std,0,15,228,0.0526,0.396,0.3774,2080.0,9672.34
Bullshark,25,std,0,16,226,0.0531,0.3556,0.3323,1856.0,7973.54
Bullshark,25,std,0,17,218,0.055,0.3579,0.3336,1816.0,8182.75
Bullshark,25,std,0,18,216,0.0556,0.3287,0.301,1658.0,7851.15
Bullshark,25,std,0,19,214,0.0561,0.2654,0.2306,1332.0,6372.7
Bullshark,25,std,0,20,210,0.0571,0.2534,0.2164,1252.0,5514.47
Bullshark,25,std,0,21,204,0.0588,0.2203,0.1903,1062.0,4442.86
Bullshark,25,std,0,22,218,0.055,0.1375,0.1437,664.0,2718.37
Bullshark,25,std,0,23,240,0.0,0.0851,0.089,462.0,2131.48
Bullshark,25,std,0,24,244,0.0,0.0311,0.0326,172.0,862.97
Bullshark,25,std,1,0,250,0.0,0.4895,0.5122,2762.0,13390.84
Bullshark,25,std,1,1,250,0.048,0.4911,0.4948,2772.0,13374.37
Bullshark,25,std,1,2,252,0.0476,0.5076,0.512,2882.0,14016.07
Bullshark,25,std,1,3,252,0.0476,0.4945,0.4969,2808.0,14061.86
Bullshark,25,std,1,4,250,0.048,0.5259,0.5284,2968.0,14731.84
Bullshark,25,std,1,5,248,0.0484,0.503,0.4988,2816.0,13291.89
Bullshark,25,std,1,6,252,0.0476,0.4893,0.4835,2778.0,12904.14
Bullshark,25,std,1,7,250,0.048,0.4474,0.4371,2524.0,11595.64
Bullshark,25,std,1,8,250,0.048,0.4895,0.4836,2758.0,12930.25
Bullshark,25,std,1,9,246,0.0488,0.4571,0.4482,2546.0,13303.72
Bullshark,25,std,1,10,250,0.048,0.5096,0.5061,2876.0,13400.81
Bullshark,25,std,1,11,250,0.048,0.4879,0.4834,2752.0,12893.4
Bullshark,25,std,1,12,242,0.0496,0.4964,0.4902,2734.0,13600.64
Bullshark,25,std,1,13,242,0.0496,0.512,0.5084,2820.0,13090.81
Bullshark,25,std,1,14,242,0.0496,0.5358,0.5337,2950.0,14466.76
Bullshark,25,std,1,15,226,0.0531,0.4914,0.4827,2576.0,11556.94
Bullshark,25,std,1,16,230,0.0522,0.4784,0.4689,2546.0,13367.27
Bullshark,25,std,1,17,224,0.0536,0.5067,0.4994,2638.0,11943.11
Bullshark,25,std,1,18,216,0.0556,0.5243,0.5177,2654.0,13748.12
Bullshark,25,std,1,19,216,0.0556,0.5513,0.5476,2796.0,13508.11
Bullshark,25,std,1,20,210,0.0571,0.4962,0.4857,2462.0,11210.9
Bullshark,25,std,1,21,204,0.0588,0.5505,0.5463,2670.0,13002.77
Bullshark,25,std,1,22,206,0.0583,0.5111,0.5335,2356.0,10537.02
Bullshark,25,std,1,23,238,0.0,0.495,0.5178,2674.0,12392.69
Bullshark,25,std,1,24,246,0.0,0.4736,0.4955,2632.0,12413.51
Bullshark,49,std,0,0,140,0.0143,0.7533,0.7669,4922.0,24985.92
Bullshark,49,std,0,1,136,0.0147,0.8434,0.8597,5396.0,27229.16
Bullshark,49,std,0,2,142,0.0845,0.7964,0.7958,5256.0,26201.04
Bullshark,49,std,0,3,136,0.0735,0.6774,0.6659,4314.0,21551.55
Bullshark,49,std,0,4,134,0.0746,0.7867,0.786,4964.0,25139.08
Bullshark,49,std,0,5,134,0.0746,0.7979,0.7982,5022.0,25344.33
Bullshark,49,std,0,6,138,0.087,0.8033,0.8021,5180.0,25358.77
Bullshark,49,std,0,7,134,0.0746,0.7689,0.7662,4812.0,24133.49
Bullshark,49,std,0,8,144,0.0833,0.743,0.7357,4956.0,24507.31
Bullshark,49,std,0,9,130,0.0769,0.632,0.6139,3884.0,19859.93
Bullshark,49,std,0,10,142,0.0704,0.7564,0.7535,4992.0,24564.64
