protocol,n,scope,fix,spearman_wr_idx,gini_mev_uniform,gini_mev_pareto,top_bottom_ratio,wr_min_pct,wr_max_pct,total_blocks
Bullshark,13,std,0,-1.0,0.3142,0.3073,12.47,7.4,92.0,5874
Bullshark,13,std,1,-0.2967,0.0307,0.0381,1.22,45.4,54.1,5868
Bullshark,25,std,0,-0.9992,0.3017,0.311,29.62,3.1,90.2,5914
Bullshark,25,std,1,0.2385,0.0307,0.0417,1.26,44.7,55.1,5942
Bullshark,49,std,0,-0.9781,0.2241,0.2215,4.39,18.6,84.3,6972
Bullshark,49,std,1,-0.2512,0.0486,0.051,1.5,38.6,62.4,7006
Sui,13,std,0,-1.0,0.3114,0.3311,11.53,7.9,91.1,2936
Sui,13,std,1,-0.0495,0.0263,0.0287,1.17,46.2,53.4,2937
Sui,25,std,0,-0.9992,0.3082,0.3179,25.02,3.6,90.9,2954
Sui,25,std,1,0.1608,0.0449,0.0569,1.4,44.4,56.3,2974
Sui,49,std,0,-0.9881,0.215,0.2129,5.06,15.9,84.5,3436
Sui,49,std,1,-0.3107,0.0411,0.0494,1.39,39.8,58.0,3454
