timestamp,protocol,experiment,attack_mode,attack_type,rep,asr,asr_l1,asr_l2,asr_histogram,duration,exit_code,NUM_NODES,ATTACKER_RATIO,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO,ALEPH_ELECTION_LOOKAHEAD,ALEPH_COORD_REQUEST_DELAY_MS,ALEPH_HASH_SORT_SEED,AUTOBAHN_K,AUTOBAHN_FAST_PATH_TIMEOUT,AUTOBAHN_USE_FAST_PATH
2026-02-20T03:17:53.097588,bullshark,simple,fissure,backrun,1,91.5,8.83,42.17,"[3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 2, 1, 3, 2, 4, 3, 10, 9, 1, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3]",132.80617713928223,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T20:43:34.907286,bullshark,simple,fissure,backrun,1,92.3,8.55,42.45,"[3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3]",169.8646903038025,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T20:45:55.834427,bullshark,simple,fissure,backrun,2,91.5,8.83,42.17,"[3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 12, 11, 10, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 2, 1, 3, 2, 4, 3, 10, 9, 1, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3]",135.71213483810425,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T20:48:17.518627,bullshark,simple,fissure,backrun,3,92.2,8.71,42.34,"[3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 2, 1, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3]",136.4776749610901,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T20:50:37.959236,bullshark,simple,fissure,backrun,4,92.0,8.55,41.59,"[3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 3, 2, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3]",135.20912218093872,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T20:52:56.522661,bullshark,simple,fissure,backrun,5,88.8,9.48,41.38,"[3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 2, 1, 3, 2, 4, 3, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 2, 1, 3, 2, 4, 3, 11, 10, 1, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 2, 1, 3, 2, 10, 9, 1, 11, 10, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 2, 1, 3, 2, 4, 3, 10, 9, 1, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3]",133.34601187705994,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T21:23:08.399831,bullshark,simple,speculative,backrun,1,87.7,9.36,38.6,"[3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 10, 9, 1, 11, 10, 2, 12, 11, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 9, 8, 7, 10, 9, 8, 2, 1, 3, 2, 4, 3, 5, 4, 7, 2, 1, 8, 3, 2, 9, 4, 3, 10, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 2, 1, 3, 2, 10, 9, 1, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 1, 2, 3, 11, 2, 1, 2, 1, 3, 2, 4, 3, 10, 9, 1, 7, 2, 1, 8, 3, 2, 9, 4, 3, 10, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3]",254.76189303398132,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T21:25:28.868024,bullshark,simple,speculative,backrun,2,90.6,8.83,41.03,"[3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 9, 8, 7, 10, 9, 8, 11, 10, 9, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 1, 2, 3, 11, 2, 1, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3]",135.25603985786438,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T21:27:46.851321,bullshark,simple,speculative,backrun,3,90.6,8.83,41.88,"[3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 1, 2, 3, 11, 2, 1, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3]",132.76683807373047,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T21:30:11.520420,bullshark,simple,speculative,backrun,4,91.4,8.85,41.3,"[3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 9, 8, 7, 10, 9, 8, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 2, 1, 3, 2, 10, 9, 1, 11, 10, 2, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 6, 5, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3]",139.45520615577698,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
